company_Name,Description,Stock_PE,Face_Value,ROCE(%),ROE(%),Dividend_Yield(%),Market_Capital(Cr.)
Adani Enterprises Ltd,"Adani Enterprises Ltd has business interests in various economic areas such as mining, integrated resources management (IRM), infrastructure such as airports, roads, rail/ metro, water, data centres, solar manufacturing, agro and defence.",131.0,1,9.49,9.63,0.04,341807
Adani Ports & Special Economic Zone Ltd,"Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra.",30.7,2,9.53,14.4,0.45,242793
Apollo Hospitals Enterprise Ltd,"Apollo Hospitals has emerged as AsiaÂs foremost integrated healthcare services provider and has a robust presence across the healthcare ecosystem, including Hospitals, Pharmacies, Primary Care & Diagnostic Clinics and several Retail Health models.",119.0,5,14.5,13.7,0.26,82781
Asian Paints Ltd,"Asian Paints is the largest home decor company in India. The 80+yyr old company has major brands like Asian Paints, Berger, Apco, etc under its umbrella. The co. is into wall paints, wall coverings, waterproofing, texture painting, wall stickers, mechanized tools, adhesives, modular kitchens, sanitaryware, lightings, soft furnishings, and uPVC windows",63.8,1,34.4,27.7,0.76,324396
Axis Bank Ltd,"Axis Bank is the third largest private sector bank in India. The Bank offers the entire spectrum of financial services to customer segments covering Large and Mid-Corporates, MSME, Agriculture and Retail Businesses.",14.8,2,6.15,14.5,0.09,346180
Bajaj Auto Ltd,"Bajaj Auto Limited is an Indian multinational automotive manufacturing company based in Pune. It manufactures motorcycles, scooters and auto rickshaws. Bajaj Auto is a part of the Bajaj Group. It was founded by Jamnalal Bajaj in Rajasthan in the 1940s",28.6,10,26.2,20.2,2.02,195940
Bajaj Finance Ltd,"Bajaj Finance is mainly engaged in the business of lending. BFL has a diversified lending portfolio across retail, SME and commercial customers with a significant presence in urban and rural India. It also accepts public and corporate deposits and offers variety of financial services products to its customers.",36.3,2,11.8,23.5,0.39,476392
Bajaj Finserv Ltd,"Bajaj Finserv Ltd. is the holding company for the various financial services businesses under the Bajaj group. It serves millions of customers by providing solutions for asset acquisition through financing, asset protection through general insurance, family and income protection in the form of life and health insurance, and retirement and savings solutions.",36.6,1,11.3,14.8,0.05,271617
Bharat Petroleum Corporation Ltd,Bharat Petroleum Corporation is a public sector company which is engaged in the business of refining of crude oil and marketing of petroleum products.,3.39,10,6.86,6.34,4.64,98170
Bharti Airtel Ltd,"Bharti Airtel Limited, commonly known as Airtel, is an Indian multinational telecommunications services company based in New Delhi. It operates in 18 countries across South Asia and Africa, as well as the Channel Islands. Currently, Airtel provides 5G, 4G and LTE Advanced services all over India.",57.2,5,12.3,12.0,0.38,615059
Britannia Industries Ltd,"Britannia Industries is one of Indias leading food companies with a 100 year legacy and annual revenues in excess of Rs. 9000 Cr. Britannia is among the most trusted food brands, and manufactures Indias favorite brands like Good Day, Tiger, NutriChoice, Milk Bikis and Marie Gold which are household names in India. Britannias product portfolio includes Biscuits, Bread, Cakes, Rusk, and Dairy products including Cheese, Beverages, Milk and Yoghurt.",58.0,1,48.6,66.6,1.34,129158
Cipla Ltd,Cipla is engaged in the Business of Pharmaceuticals.,29.5,2,18.0,12.8,0.66,104717
Coal India Ltd,"Coal India Ltd is mainly engaged in mining and production of Coal and also operates Coal washeries. The major consumers of the company are power and steel sectors. Consumers from other sectors include cement, fertilizers, brick kilns etc.",8.47,10,70.5,56.0,6.3,237080
Divis Laboratories Ltd,"Incorporated in 1990, Divis Laboratories Ltd manufactures and exports API's, Intermediates and Nutraceutical ingredients.",80.6,2,19.4,14.9,0.74,107338
Dr Reddys Laboratories Ltd,"Dr. Reddy's Laboratories Ltd is a leading India-based pharamceutical company which offers a portfolio of products and services, including Active Pharmaceutical Ingredients (APIs), Custom Pharmaceutical services (CPS), generics, biosimilars and differentiated formulations.",19.1,5,26.7,21.6,0.68,97467
Eicher Motors Ltd,"Eicher Motors Limited, incorporated in 1982, is the listed company of the Eicher Group in India and a leading player in the Indian automobile industry and the global leader in middleweight motorcycles.",29.5,1,27.4,21.1,0.96,105735
Grasim Industries Ltd,"Grasim Industries Limited is the flagship company of the Aditya Birla group, it ranks amongst India's largest private sector companies. On standalone basis, GILÂs core businesses comprise of viscose Staple fibre (VSF), caustic soda, speciality chemicals, rayon-grade wood pulp (RGWP) with plants at multiple locations. It also has certain other businesses such as fertiliser, textile, etc.",20.6,2,9.97,8.85,0.48,136411
