Year,Quarter,Year_Qrtr,DJI,NVDA,INTC,AMD,QCOM,T_Bill_13W_R,Quarterly_Rev_%_Change
2015,2,2015_2,-0.008810134,-0.034731351,-0.020148162,-0.104477612,-0.090504202,0.009507692,0.001737619
2015,3,2015_3,-0.075757498,0.230915701,-0.000973455,-0.283333333,-0.134876391,0.031530303,0.131830009
2015,4,2015_4,0.070024624,0.342195945,0.151051115,0.668604651,-0.060421922,0.110757576,0.073563218
2016,1,2016_1,0.014924508,0.084945973,-0.052693147,-0.006968641,0.032606767,0.268907692,-0.068522484
2016,2,2016_2,0.013847823,0.322821255,0.022668659,0.803508772,0.057572506,0.243738462,0.094252874
2016,3,2016_3,0.021090921,0.460247099,0.159638907,0.344357977,0.289554107,0.279090909,0.403361345
2016,4,2016_4,0.079442762,0.560125649,-0.031931134,0.641099855,-0.040730192,0.412492308,0.084331337
2017,1,2017_1,0.045571939,0.021805311,0.00158556,0.283068783,-0.112329945,0.581046154,-0.108605614
2017,2,2017_2,0.033218927,0.328488197,-0.057637957,-0.142268041,-0.027488379,0.881753846,0.151264843
2017,3,2017_3,0.049436922,0.237737695,0.137103049,0.021634615,-0.050811307,1.025384615,0.18206278
2017,4,2017_4,0.103285905,0.083149148,0.219368525,-0.19372549,0.24537147,1.1916,0.104324734
2018,1,2018_1,-0.02492433,0.19759095,0.135904078,-0.022373541,-0.127060752,1.539661538,0.10168327
2018,2,2018_2,0.006982501,0.023561077,-0.03999846,0.491542289,0.02339574,1.821615385,-0.026192703
2018,3,2018_3,0.090101894,0.186887694,-0.042896509,1.060707071,0.295186907,2.018953846,0.018571886
2018,4,2018_4,-0.118331443,-0.524469476,-0.001367462,-0.40239561,-0.201335335,2.294681818,-0.306821754
2019,1,2019_1,0.111508926,0.346404828,0.15151041,0.382448612,0.013761215,2.372796875,0.006802721
2019,2,2019_2,0.025889478,-0.084331674,-0.10310682,0.190047061,0.346051364,2.291153846,0.161711712
2019,3,2019_3,0.011912424,0.060965405,0.083725214,-0.04543961,0.010722048,1.969227273,0.168670027
2019,4,2019_4,0.060245207,0.352752539,0.167851495,0.581924836,0.165628447,1.560712121,0.030192435
2020,1,2020_1,-0.232012682,0.120942056,-0.091286262,-0.00828611,-0.227154727,1.078169231,-0.00805153
2020,2,2020_2,0.177747482,0.441894605,0.111750957,0.15677223,0.358698732,0.123184615,0.255194805
2020,3,2020_3,0.076272775,0.425026604,-0.128670184,0.558448896,0.297119658,0.100181818,0.222452147
2020,4,2020_4,0.101677723,-0.034857787,-0.030854093,0.118551058,0.300114363,0.080454545,0.058611934
2021,1,2021_1,0.077600234,0.022815715,0.292422175,-0.144040989,-0.125496279,0.040484375,0.131521087
2021,2,2021_2,0.04611548,0.498854488,-0.117409816,0.19656051,0.083485659,0.014876923,0.149443561
2021,3,2021_3,-0.019088176,0.035853015,-0.044776821,0.095496668,-0.093397779,0.039848485,0.091593668
2021,4,2021_4,0.073702455,0.419897559,-0.026686642,0.398445007,0.423176668,0.043893939,0.076024215
2022,1,2022_1,-0.045680453,-0.072093734,-0.030339071,-0.240166779,-0.16083842,0.285171875,0.084390946
2022,2,2022_2,-0.112546301,-0.444322922,-0.239190611,-0.300621879,-0.15971434,1.043769231,-0.191119691
2022,3,2022_3,-0.06660898,-0.198983592,-0.304192455,-0.171439778,-0.110584266,2.60269697,-0.115304296
2022,4,2022_4,0.153930774,0.204196275,0.039463103,0.022253724,-0.020702997,3.9948,0.020232676
2023,1,2023_1,0.003828372,0.901034491,0.251156926,0.513200657,0.167539718,4.588276923,0.188563874
2023,2,2023_2,0.034063981,0.523072113,0.027760472,0.162228361,-0.060458776,5.036415385,0.878058954
2023,3,2023_3,-0.026159918,0.028381291,0.066922938,-0.097357595,-0.060430122,5.272076923,0.341526616
2023,4,2023_4,0.124809073,0.138563062,0.418149889,0.433670531,0.310551394,5.267984615,0.219812362
2024,1,2024_1,0.056191453,0.824648409,-0.118418555,0.224408114,0.176518919,5.2204,0.178301588
